,Número de registro,Título,Autor,Data de produção,Dimensões,Material/Técnica,Classificação,Resumo descritivo,Condições de reprodução,Local de produção,ACERVO,URL,TAINACAN_COLECTION_ID
26,C.0204.0106,Santo de roca,,,"c 17,5 x l 9",Madeira,02 Artes Visuais/Cinematográfica > 02.3 Escultura,Mão direita de santo de roca,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
27,C.0204.0107,Santo de roca,,,c 18 x l 9,Madeira,02 Artes Visuais/Cinematográfica > 02.3 Escultura,Mão esquerda de santo de roca,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
28,C.0204.0108,Santo de roca,,,"c 44 x l 11,2",Madeira,02 Artes Visuais/Cinematográfica > 02.3 Escultura,Mão esquerda (com antebraço) de santo de roca,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
29,C.0204.0109,Santo de roca,,,"c 77 x l 12,5",Madeira,02 Artes Visuais/Cinematográfica > 02.3 Escultura,Mão direita (com braço e antebraço) de santo de roca,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
30,C.1003.0110,Emblema procissão das cinzas,,,a 20 x l 21,Madeira,10 Comunicação > 10.3 Equipamento de Comunicação Sonora/Visual,Plaqueta,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
31,C.0505.0130,,,,"a 30 x l 3,2 x p 23",Mármore,05 Interiores > 05.5 Peça de Mobiliário,,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
32,C.1003.0131,,,,a 113 x d 90 | Com o contrapeso: a 183,Bronze,10 Comunicação > 10.3 Equipamento de Comunicação Sonora/Visual,,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
33,C.1003.0132,,,,a 77 x d 65 | Com o contrapeso: a 145,Bronze,10 Comunicação > 10.3 Equipamento de Comunicação Sonora/Visual,,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
34,C.0404.0133,Galo de grimpa,,,,Folha de flandres,04 Construção > 04.4 Fragmento de Construção,,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
35,C.1003.0134,,,,a 52 x d 36 | Com o contrapeso: a 135,Bronze,10 Comunicação > 10.3 Equipamento de Comunicação Sonora/Visual,,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
